Business Name,Phone,Website,Street,City,State,Rating,Reviews,Emails,Founder Name,LinkedIn Company,LinkedIn Personal,Instagram,Facebook,ABN,Entity Type,Category,Lead Score,Source Search,Research Summary
Totally Fake Bella Vista Advocates Anonymous #1,+61 500 849 271,https://totally-fake-buyers-1.example,123 Fake Street,Bella Vista,New South Wales,5.0,137.0,alex.alias@fake-buyers.example,Alex Alias,,,https://www.instagram.com/fake_buyers_1,https://www.facebook.com/fake.buyers.1,71 704 255 635,Australian Private Company,Investment BA,100,buyers advocate Sydney,
Banana Republic Woodville South Property Shenanigans #2,+61 708 862 687,https://totally-fake-buyers-2.example,88 Placeholder Place,Woodville South,South Australia,4.9,152.0,riley.rubbish@fake-buyers.example,Riley Rubbish,https://www.linkedin.com/company/banana-republic-woodville-south-property-shenanigans-2,,https://www.instagram.com/fake_buyers_2,https://www.facebook.com/fake.buyers.2,78 469 990 907,Discretionary Trading Trust,Owner-occupier,100,buyers agent first home Adelaide,
Totally Fake Kedron House Hunters Hoax #3,+61 696 249 392,https://totally-fake-buyers-3.example,7 Hogwash Highway,Kedron,Queensland,4.8,105.0,sam.sample@fake-buyers.example,Sam Sample,,,https://www.instagram.com/fake_buyers_3,https://www.facebook.com/fake.buyers.3,96 448 940 897,Individual/Sole Trader,Owner-occupier,100,buyers agent first home Brisbane,
Imaginary Burpengary House Hunters Hoax #4,+61 596 747 907,https://totally-fake-buyers-4.example,42 Demo Drive,Burpengary,Queensland,5.0,57.0,riley.rubbish@fake-buyers.example,Riley Rubbish,,https://www.linkedin.com/in/riley-rubbish,https://www.instagram.com/fake_buyers_4,https://www.facebook.com/fake.buyers.4,85 180 818 394,Australian Private Company,Owner-occupier,100,buyers agent first home Brisbane,
Suspiciously Legit Griffith Suburb Safari Co #5,+61 615 382 980,https://totally-fake-buyers-5.example,88 Placeholder Place,Griffith,Australian Capital Territory,4.8,277.0,alex.alias@fake-buyers.example,Alex Alias,,,https://www.instagram.com/fake_buyers_5,https://www.facebook.com/fake.buyers.5,17 595 371 447,Individual/Sole Trader,Owner-occupier,100,buyers agent first home Canberra,
Totally Fake Woolner Mortgage Mayhem #6,+61 894 314 796,https://totally-fake-buyers-6.example,404 Not Found Road,Woolner,Northern Territory,4.9,190.0,casey.contrived@fake-buyers.example,Casey Contrived,https://www.linkedin.com/company/totally-fake-woolner-mortgage-mayhem-6,,https://www.instagram.com/fake_buyers_6,https://www.facebook.com/fake.buyers.6,12 328 802 953,Australian Private Company,EXCLUDED,100,buyers agent first home Darwin,
Totally Fake Melbourne Homes & Hogwash #7,+61 643 405 126,https://totally-fake-buyers-7.example,404 Not Found Road,Melbourne,Victoria,5.0,251.0,jamie.jest@fake-buyers.example,Jamie Jest,https://www.linkedin.com/company/totally-fake-melbourne-homes-hogwash-7,,https://www.instagram.com/fake_buyers_7,https://www.facebook.com/fake.buyers.7,42 680 944 896,Fixed Unit Trust,Owner-occupier,100,buyers agent first home Melbourne,
Quantum Clyde North Dream Home Depot #8,+61 535 179 887,https://totally-fake-buyers-8.example,3 Test Terrace,Clyde North,Victoria,5.0,168.0,casey.contrived@fake-buyers.example,Casey Contrived,,,https://www.instagram.com/fake_buyers_8,https://www.facebook.com/fake.buyers.8,57 265 733 367,Individual/Sole Trader,Owner-occupier,100,buyers agent first home Melbourne,
Captain Obvious Abbotsford Off-Market Emporium #9,+61 627 662 549,https://totally-fake-buyers-9.example,42 Demo Drive,Abbotsford,Victoria,5.0,122.0,jamie.jest@fake-buyers.example,Jamie Jest,,https://www.linkedin.com/in/jamie-jest,https://www.instagram.com/fake_buyers_9,https://www.facebook.com/fake.buyers.9,36 411 414 345,Individual/Sole Trader,Owner-occupier,100,buyers agent first home Melbourne,
Totally Fake Ringwood Buyers Agency #10,+61 507 718 988,https://totally-fake-buyers-10.example,7 Hogwash Highway,Ringwood,Victoria,5.0,123.0,sam.sample@fake-buyers.example,Sam Sample,https://www.linkedin.com/company/totally-fake-ringwood-buyers-agency-10,,https://www.instagram.com/fake_buyers_10,https://www.facebook.com/fake.buyers.10,,,Owner-occupier,100,buyers agent first home Melbourne,
Imaginary Box Hill Buyers Agency #11,+61 623 510 497,https://totally-fake-buyers-11.example,123 Fake Street,Box Hill,Victoria,4.9,154.0,jordan.jokester@fake-buyers.example,Jordan Jokester,,,https://www.instagram.com/fake_buyers_11,https://www.facebook.com/fake.buyers.11,55 299 223 917,Australian Private Company,Owner-occupier,100,buyers agent first home Melbourne,
Certified Fictional Ringwood Homes & Hogwash #12,+61 788 166 437,https://totally-fake-buyers-12.example,7 Hogwash Highway,Ringwood,Victoria,4.8,103.0,casey.contrived@fake-buyers.example,Casey Contrived,,,https://www.instagram.com/fake_buyers_12,https://www.facebook.com/fake.buyers.12,26 462 432 820,Australian Private Company,Owner-occupier,100,buyers agent first home Melbourne,
Definitely Not Real South Perth Advocates Anonymous #13,+61 841 741 576,https://totally-fake-buyers-13.example,404 Not Found Road,South Perth,Western Australia,4.9,102.0,morgan.mock@fake-buyers.example,Morgan Mock,,,https://www.instagram.com/fake_buyers_13,https://www.facebook.com/fake.buyers.13,93 224 212 494,Other Partnership,Owner-occupier,100,buyers agent first home Perth,
Totally Fake South Perth Dream Home Depot #14,+61 708 156 559,https://totally-fake-buyers-14.example,123 Fake Street,South Perth,Western Australia,5.0,131.0,alex.alias@fake-buyers.example,Alex Alias,https://www.linkedin.com/company/totally-fake-south-perth-dream-home-depot-14,,,https://www.facebook.com/fake.buyers.14,63 599 438 567,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Quantum South Perth Brick & Giggle #15,+61 845 740 990,https://totally-fake-buyers-15.example,42 Demo Drive,South Perth,Western Australia,5.0,120.0,casey.contrived@fake-buyers.example,Casey Contrived,https://www.linkedin.com/company/quantum-south-perth-brick-giggle-15,,https://www.instagram.com/fake_buyers_15,https://www.facebook.com/fake.buyers.15,94 783 393 599,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Captain Obvious Subiaco Buyers Agency #16,+61 734 504 197,https://totally-fake-buyers-16.example,404 Not Found Road,Subiaco,Western Australia,4.8,338.0,morgan.mock@fake-buyers.example,Morgan Mock,https://www.linkedin.com/company/captain-obvious-subiaco-buyers-agency-16,,https://www.instagram.com/fake_buyers_16,https://www.facebook.com/fake.buyers.16,87 490 791 439,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Quantum Victoria Park Suburb Safari Co #17,+61 471 430 853,https://totally-fake-buyers-17.example,3 Test Terrace,Victoria Park,Western Australia,5.0,148.0,taylor.testdata@fake-buyers.example,Taylor Testdata,https://www.linkedin.com/company/quantum-victoria-park-suburb-safari-co-17,https://www.linkedin.com/in/taylor-testdata,https://www.instagram.com/fake_buyers_17,https://www.facebook.com/fake.buyers.17,57 141 855 318,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Suspiciously Legit Victoria Park Off-Market Emporium #18,+61 873 980 978,https://totally-fake-buyers-18.example,404 Not Found Road,Victoria Park,Western Australia,5.0,98.0,jordan.jokester@fake-buyers.example,Jordan Jokester,,,https://www.instagram.com/fake_buyers_18,https://www.facebook.com/fake.buyers.18,71 584 701 937,Individual/Sole Trader,Owner-occupier,100,buyers agent first home Perth,
Imaginary Perth Suburb Safari Co #19,+61 779 822 249,https://totally-fake-buyers-19.example,123 Fake Street,Perth,Western Australia,4.9,1611.0,pat.faux@fake-buyers.example,Pat Faux,https://www.linkedin.com/company/imaginary-perth-suburb-safari-co-19,,https://www.instagram.com/fake_buyers_19,https://www.facebook.com/fake.buyers.19,89 156 748 503,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
